id,name,description,procedures
T1037,Boot or Logon Initialization Scripts,"Adversaries may use scripts automatically executed at boot or logon initialization to establish persistence. Initialization scripts can be used to perform administrative functions, which may often execute other programs or send information to an internal logging server. These scripts can vary based on operating system and whether applied locally or remotely.    Adversaries may use these scripts to maintain persistence on a single system. Depending on the access configuration of the logon scripts, either local credentials or an administrator account may be necessary.   An adversary may also be able to escalate their privileges since some boot or logon initialization scripts run with higher privileges.","['[APT29] has hijacked legitimate application-specific startup scripts to enable malware to execute on system startup.', 'Depending on the Linux distribution and when executing with root permissions, [RotaJakiro] may install persistence using a `.conf` file in the `/etc/init/` folder.', '[Rocke] has installed an ""init.d"" startup script to maintain persistence.\t']"
T1557,Adversary-in-the-Middle,"Adversaries may attempt to position themselves between two or more networked devices using an adversary-in-the-middle (AiTM) technique to support follow-on behaviors such as [Network Sniffing] [Transmitted Data Manipulation] or replay attacks ([Exploitation for Credential Access] By abusing features of common networking protocols that can determine the flow of network traffic (e.g. ARP, DNS, LLMNR, etc.), adversaries may force a device to communicate through an adversary controlled system so they can collect information or perform additional actions.  For example, adversaries may manipulate victim DNS settings to enable other malicious activities such as preventing/redirecting users from accessing legitimate sites and/or pushing additional malware. Adversaries may also manipulate DNS and leverage their position in order to intercept user credentials and session cookies. [Downgrade Attack] can also be used to establish an AiTM position, such as by negotiating a less secure, deprecated, or weaker version of communication protocol (SSL/TLS) or encryption algorithm.  Adversaries may also leverage the AiTM position to attempt to monitor and/or modify traffic, such as in [Transmitted Data Manipulation] Adversaries can setup a position similar to AiTM to prevent traffic from flowing to the appropriate destination, potentially to [Impair Defenses] and/or in support of a [Network Denial of Service]","['[Dok] proxies web traffic to potentially monitor and alter victim HTTP(S) traffic.', '[Kimsuky] has used modified versions of PHProxy to examine web traffic between the victim and the accessed website.']"
T1033,System Owner/User Discovery,"Adversaries may attempt to identify the primary user, currently logged in user, set of users that commonly uses a system, or whether a user is actively using the system. They may do this, for example, by retrieving account usernames or by using [OS Credential Dumping] The information may be collected in a number of different ways using other Discovery techniques, because user and username details are prevalent throughout a system and include running process ownership, file/directory ownership, session information, and system logs. Adversaries may use the information from [System Owner/User Discovery] during automated discovery to shape follow-on behaviors, including whether or not the adversary fully infects the target and/or attempts specific actions.  Various utilities and commands may acquire this information, including <code>whoami</code>. In macOS and Linux, the currently logged in user can be identified with <code>w</code> and <code>who</code>. On macOS the <code>dscl . list /Users | grep -v '_'</code> command can also be used to enumerate user accounts. Environment variables, such as <code>%USERNAME%</code> and <code>$USER</code>, may also be used to access this information.  On network devices, [Network Device CLI] commands such as `show users` and `show ssh` can be used to display users currently logged into the device.","['[Trojan.Karagany] can gather information about the user on a compromised host.', '[PoetRAT] sent username, computer name, and the previously generated UUID in reply to a ""who"" command from C2.', '[Revenge RAT] gathers the username from the system.', '[DRATzarus] can obtain a list of users from an infected machine.', '[TrickBot] can identify the user and groups the user belongs to on a compromised host.', '[ShadowPad] has collected the username of the victim system.', '[Squirrelwaffle] can collect the user name from a compromised host.', '[Emotet] has enumerated all users connected to network shares.', '[APT38] has identified primary users, currently logged in users, sets of users that commonly use a system, or inactive users.', '[NBTscan] can list active users on the system.\t', '[NDiskMonitor] obtains the victim username and encrypts the information to send over its C2 channel.', '[BabyShark] has executed the <code>whoami</code> command.', '[WellMess] can collect the username on the victim machine to send to C2.', '[MacMa] can collect the username from the compromised machine.', '[SslMM] sends the logged-on username to its hard-coded C2.', '[BLUELIGHT] can collect the username on a compromised host.', ""[StrifeWater] can collect the user name from the victim's machine."", '[Bumblebee] has the ability to identify the user name.', '[Dyre] has the ability to identify the users on a compromised host.', '[Woody RAT] can retrieve a list of user accounts and usernames from an infected machine.', '[Diavol] can collect the username from a compromised host.', '[Epic] collects the user name from the victim’s machine.', '[POWERSTATS] has the ability to identify the username on the compromised host.', '[FIN8] has executed the command `quser` to display the session details of a compromised machine. ', '[S-Type] has run tests to determine the privilege level of the compromised user.', '[MarkiRAT] can retrieve the victim’s username.', '[Ke3chang] has used implants capable of collecting the signed-in username.', '[Mosquito] runs <code>whoami</code> on the victim’s machine.', '[Unknown Logger] can obtain information about the victim usernames.', '[Azorult] can collect the username from the victim’s machine.', '[metaMain] can collect the username from a compromised host.', '[FIN7] has used the command `cmd.exe /C quser` to collect user session information.', '[AuTo Stealer] has the ability to collect the username from an infected host.', '[HAFNIUM] has used `whoami` to gather user information.', 'During [C0017] [APT41] used `whoami` to gather information from victim machines.', '[Exaramel for Linux] can run <code>whoami</code> to identify the system owner.', '[SysUpdate] can collect the username from a compromised host.', '[RATANKBA] runs the <code>whoami</code> and <code>query user</code> commands.', '[FlawedAmmyy] enumerates the current user during the initial infection.', '[Rising Sun] can detect the username of the infected host.\t', '[UPPERCUT] has the capability to collect the current logged on user’s username from a machine.', '[WINERACK] can gather information on the victim username.', '[SynAck] gathers user names from infected hosts.', '[XAgentOSX] contains the getInfoOSX function to return the OS X version as well as the current user.', '[WINDSHIELD] can gather the victim user name.', '[Koadic] can identify logged in users across the domain and views user sessions.', '[LitePower] can determine if the current user has admin privileges.', '[APT19] used an HTTP malware variant and a Port 22 malware variant to collect the victim’s username.', '[Octopus] can collect the username from the victim’s machine.', '[SideTwist] can collect the username on a targeted system.', '[SpeakUp] uses the <code>whoami</code> command. ', '[GrimAgent] can identify the user id on a target machine.', '[Cardinal RAT] can collect the username from a victim machine.', '[Pupy] can enumerate local information for Linux hosts and find currently logged on users for Windows hosts.', '[Lokibot] has the ability to discover the username on the infected host.', '[FIN10] has used Meterpreter to enumerate users on remote systems.', '[Agent Tesla] can collect the username from the victim’s machine.', '[MechaFlounder] has the ability to identify the username and hostname on a compromised host.', ""[APT32] collected the victim's username and executed the <code>whoami</code> command on the victim's machine. [APT32] executed shellcode to collect the username on the victim's machine. "", '[KONNI] can collect the username from the victim’s machine.', ""[Gold Dragon] collects the endpoint victim's username and uses it as a basis for downloading additional components from the C2 server."", 'During [Operation Wocao] threat actors enumerated sessions and users on a remote host, and identified privileged users logged into a targeted system.', '[Lucifer] has the ability to identify the username on a compromised host.', '[Felismus] collects the current username and sends it to the C2 server.', '[APT39] used [Remexi] to collect usernames from the system.', '[Milan] can identify users registered to a targeted machine.', '[Zebrocy] gets the username from the system.', '[QakBot] can identify the user name on a compromised system.', '[Cannon] can gather the username from the system.', '[SLOTHFULMEDIA] has collected the username from a victim machine.', '[Turian] can retrieve usernames.', '[SodaMaster] can identify the username on a compromised host.', '[APT37] identifies the victim username.', 'Various [Lazarus Group] malware enumerates logged-on users.', 'During [Night Dragon] threat actors used password cracking and pass-the-hash tools to discover usernames and passwords.', '[POWRUNER] may collect information about the currently logged in user by running <code>whoami</code> on a victim.', '[InvisiMole] lists local users and session information.', '[Aria-body] has the ability to identify the username on a compromised host.', '[AsyncRAT] can check if the current user of a compromised system is an administrator. ', ""[Grandoreiro] can collect the username from the victim's machine."", '[Tropic Trooper] used <code>letmein</code> to scan for saved usernames on the target system.', '[Threat Group-3390] has used `whoami` to collect system user information.', '[Chaes] has collected the username and UID from the infected machine.', '[Valak] can gather information regarding the user.', 'During [C0018] the threat actors collected `whoami` information via PowerShell scripts.', '[BADHATCH] can obtain logged user information from a compromised machine and can execute the command `whoami.exe`.', ""[PowerDuke] has commands to get the current user's name and SID."", '[Earth Lusca] collected information on user accounts via the <code>whoami</code> command.', '[QuasarRAT] can enumerate the username and account type.', '[RogueRobin] collects the victim’s username and whether that user is an admin.', '[HAWKBALL] can collect the user name of the system.', '[Kwampirs] collects registered owner details by using the commands <code>systeminfo</code> and <code>net config workstation</code>.', '[ZxShell] can collect the owner and organization information from the target workstation. ', '[Micropsia] collects the username from the victim’s machine.', '[Explosive] has collected the username from the infected host. ', '[Agent.btz] obtains the victim username and saves it to a file.', '[SVCReady] can collect the username from an infected host.', '[Crimson] can identify the user on a targeted system.', '[DownPaper] collects the victim username and sends it to the C2 server.', '[Okrum] can collect the victim username.', 'can collect the victim user name.', '[Lizar] can collect the username from the system. ', 'The OsInfo function in [Komplex] collects the current running username.', '[SombRAT] can execute <code>getinfo</code>  to identify the username on a compromised host.', '[Kazuar] gathers information on users.', 'During [Operation CuckooBees] the threat actors used the `query user` and `whoami` commands as part of their advanced reconnaissance.', '[WellMail] can identify the current username on the victim system.', '[BloodHound] can collect information on user sessions.', '[JPIN] can obtain the victim user name.', '[Magic Hound] malware has obtained the victim username and sent it to the C2 server.', '[ZIRCONIUM] has used a tool to capture the username on a compromised host in order to register it with C2.', '[STARWHALE] can gather the username from an infected host. ', '[Rifdoor] has the ability to identify the username on the compromised host.', ""[Neoichor] can collect the user name from a victim's machine."", ""[Goopy] has the ability to enumerate the infected system's user name."", '[MoonWind] obtains the victim username.', '[FunnyDream] has the ability to gather user information from the targeted system using `whoami/upn&whoami/fqdn&whoami/logonid&whoami/all`.', '[Small Sieve] can obtain the id of a logged in user.', '[Egregor] has used tools to gather information about users.', '[njRAT] enumerates the current user during the initial infection.', '[Chimera] has used the <code>quser</code> command to show currently logged on users. ', '[SMOKEDHAM] has used <code>whoami</code> commands to identify system owners.', '[yty] collects the victim’s username.', '[RCSession] can gather system owner information, including user and administrator privileges.', '[Patchwork] collected the victim username and whether it was running as admin, then sent the information to its C2 server.', '[Stealth Falcon] malware gathers the registered user and primary owner name via WMI.', '[DnsSystem] can use the Windows user name to create a unique identification for infected users and systems.', ' [Volt Typhoon] has executed the PowerShell command `Get-EventLog security -instanceid 4624` to identify associated user and computer account names.', ""[Linux Rabbit] opens a socket on port 22 and if it receives a response it attempts to obtain the machine's hostname and Top-Level Domain. "", '[Gelsemium] has the ability to distinguish between a standard user and an administrator on a compromised host.', '[LuminousMoth] has used a malicious DLL to collect the username from compromised hosts.', '[Spark] has run the whoami command and has a built-in command to identify the user logged in. ', '[NOKKI] can collect the username from the victim’s machine.', '[SDBbot] has the ability to identify the user on a compromised host.', '[Flagpro] has been used to run the <code>whoami</code> command on the system.', '[Mis-Type] runs tests to determine the privilege level of the compromised user.', '[Mafalda] can collect the username from a compromised host.', ""A [Gamaredon Group] file stealer can gather the victim's username to send to a C2 server."", '[T9000] gathers and beacons the username of the logged in account during installation. It will also gather the username of running processes to determine if it is running as SYSTEM.', '[GALLIUM] used <code>whoami</code> and <code>query user</code> to obtain information about the victim user.', '[RTM] can obtain the victim username and permissions.', '[ServHelper] will attempt to enumerate the username of the victim.', '[Wizard Spider] has used ""whoami"" to identify the local user and their privileges.', '[RGDoor] executes the <code>whoami</code> on the victim’s machine.', '[APT41] used the WMIEXEC utility to execute <code>whoami</code> commands on remote machines.', 'A Linux version of [Derusbi] checks if the victim user ID is anything other than zero (normally used for root), and the malware will not execute if it does not have root privileges. [Derusbi] also gathers the username of the victim.', '[WinMM] uses NetUser-GetInfo to identify that it is running under an “Admin” account on the local system.', '[OilRig] has run <code>whoami</code> on a victim.', '[Denis] enumerates and collects the username from the victim’s machine.', '[Bazar] can identify the username of the infected user.', ""[EVILNUM] can obtain the username from the victim's machine."", '[HEXANE] has run `whoami` on compromised machines to identify the current user.', '[zwShell] can obtain the name of the logged-in user on the victim.', '[RedLeaves] can obtain information about the logged on user both locally and for Remote Desktop sessions.', '[GravityRAT] collects the victim username along with other account information (account type, description, full name, SID and status).', '[HotCroissant] has the ability to collect the username on the infected host.', ""[Caterpillar WebShell] can obtain a list of user accounts from a victim's machine."", '[PyDCrypt] has probed victim machines with <code>whoami</code> and has collected the username from the machine.', '[PowerShower] has the ability to identify the current user on the infected host.', '[ROKRAT] can collect the username from a compromised host.', '[ObliqueRAT] can check for blocklisted usernames on infected endpoints.', '[Windshift] has used malware to identify the username on a compromised host.', '[MirageFox] can gather the username from the victim’s machine.', ""[Metamorfo] has collected the username from the victim's machine. "", '[Remsec] can obtain information about the current user.', '[MuddyWater] has used malware that can collect the victim’s username.', '[BoomBox] can enumerate the username on a compromised host.', ""[Gazer] obtains the current user's security identifier."", '[Backdoor.Oldrea] collects the current username from the victim.', '[LiteDuke] can enumerate the account name on a targeted system.', '[Get2] has the ability to identify the current username of an infected host.', '[SUNBURST] collected the username from a compromised host.', '[ZxxZ] can collect the username from a compromised host.', '[Amadey] has collected the user name from a compromised host using `GetUserNameA`.', '[FELIXROOT] collects the username from the victim’s machine.', '[Bonadan] has discovered the username of the user running the backdoor.', '[Clambling] can identify the username on a compromised host.', '[Ixeshe] collects the username from the victim’s machine.', '[Saint Bot] can collect the username from a compromised host.', ""[Reaver] collects the victim's username."", '[VERMIN] gathers the username from the victim’s machine.', '[Dragonfly] used the command <code>query user</code> on victim hosts.', '[Cryptoistic] can gather data on the user of a compromised host.', ' [Action RAT] has the ability to collect the username from an infected host.', '[Chrommme] can retrieve the username from a targeted system.', '[DarkComet] gathers the username from the victim’s machine.', '[BISCUIT] has a command to gather the username from the system.', '[SILENTTRINITY] can gather a list of logged on users. ', '[Sandworm Team] has collected the username from a compromised host.', '[CreepySnail] can execute `getUsername` on compromised systems.', ""[More_eggs] has the capability to gather the username from the victim's machine."", '[DarkWatchman] has collected the username from a victim machine.', 'During [Frankenstein] the threat actors used [Empire] to enumerate hosts and gather username, machine name, and administrative permissions information.', '[SHARPSTATS] has the ability to identify the username on the compromised host.', '[NanHaiShu] collects the username from the victim.', '[Empire] can enumerate the username on targeted hosts.', '[KOPILUWAK] can conduct basic network reconnaissance on the victim machine with `whoami`, to get user details.', '[BlackCat] can utilize `net use` commands to discover the user name on a compromised host.', '[Sidewinder] has used tools to identify the user of a compromised host.', '[QUADAGENT] gathers the victim username.', 'A module in [Prikormka] collects information from the victim about the current user name.', 'An [APT3] downloader uses the Windows command <code>""cmd.exe"" /C whoami</code> to verify that it is running with the elevated privileges of “System.”', '[Sys10] collects the account name of the logged-in user and sends it to the C2.', '[Frankenstein] has enumerated hosts, gathering username, machine name, and administrative permissions information.', '[Operation Wocao] has enumerated sessions and users on a remote host, and identified privileged users logged into a targeted system.', '[Dragonfly 2.0] used the command <code>query user</code> on victim hosts.', 'APT28 has queried information on machines to determine the current user or system owner .']"
T1592,Gather Victim Host Information,"Adversaries may gather information about the victim's hosts that can be used during targeting. Information about hosts may include a variety of details, including administrative data (ex: name, assigned IP, functionality, etc.) as well as specifics regarding its configuration (ex: operating system, language, etc.).  Adversaries may gather this information in various ways, such as direct collection actions via [Active Scanning] or [Phishing for Information] Adversaries may also compromise sites then include malicious content designed to collect host information from visitors. Information about hosts may also be exposed to adversaries via online or other accessible data sets (ex: [Social Media] or [Search Victim-Owned Websites] Gathering this information may reveal opportunities for other forms of reconnaissance (ex: [Search Open Websites/Domains] or [Search Open Technical Databases] establishing operational resources (ex: [Develop Capabilities] or [Obtain Capabilities] and/or initial access (ex: [Supply Chain Compromise] or [External Remote Services]",[]
T1003,OS Credential Dumping,"Adversaries may attempt to dump credentials to obtain account login and credential material, normally in the form of a hash or a clear text password, from the operating system and software. Credentials can then be used to perform [Lateral Movement] and access restricted information.  Several of the tools mentioned in associated sub-techniques may be used by both adversaries and professional security testers. Additional custom tools likely exist as well. ","['[APT39] has used different versions of Mimikatz to obtain credentials.', '[Carbanak] obtains Windows logon password details.', '[Revenge RAT] has a plugin for credential harvesting.', '[PinchDuke] steals credentials from compromised hosts. [PinchDuke] credential stealing functionality is believed to be based on the source code of the Pinch credential stealing malware (also known as LdPinch). Credentials targeted by [PinchDuke] include ones associated many sources such as WinInet Credential Cache, and Lightweight Directory Access Protocol (LDAP).', '[Poseidon Group] conducts credential dumping on victims, with a focus on obtaining credentials belonging to domain and database servers.', '[OnionDuke] steals credentials from its victims.', '[Tonto Team] has used a variety of credential dumping tools. ', '[APT32] used GetPassword_x64 to harvest credentials.', '[HOMEFRY] can perform credential dumping.', '[Suckfly] used a signed credential-dumping tool to obtain victim account credentials.', '[Trojan.Karagany] can dump passwords and save them into <code>\\ProgramData\\Mail\\MailAg\\pwds.txt</code>.', '[APT28] regularly deploys both publicly available (ex: [Mimikatz] and custom password retrieval tools on victims.\t', '[Sowbug] has used credential dumping tools.', '[Axiom] has been known to dump credentials.', '[Leviathan] has used publicly available tools to dump password hashes, including [HOMEFRY]', ""[Frankenstein] has harvested credentials from the victim's machine using [Empire]"", '[KONNI] can steal profiles (containing credential information) from Firefox, Chrome, and Opera.', '[Azorult] can dump credentials from victim browsers.', 'APT34 has dumped credentials from victims in several ways, including by using open source tools Mimikatz and Lazagne, or by harvesting credentials when users log into Outlook Web Access.', 'Dragonfly dropped and executed SecretsDump, a tool that dumps password hashes.']"
T1602,Data from Configuration Repository,"Adversaries may collect data related to managed devices from configuration repositories. Configuration repositories are used by management systems in order to configure, manage, and control data on remote systems. Configuration repositories may also facilitate remote access and administration of devices.  Adversaries may target these repositories in order to collect large quantities of sensitive system administration data. Data from configuration repositories may be exposed by various protocols and software and can store a wide variety of data, much of which may align with adversary Discovery objectives.",[]
T1014,Rootkit,"Adversaries may use rootkits to hide the presence of programs, files, network connections, services, drivers, and other system components. Rootkits are programs that hide the existence of malware by intercepting/hooking and modifying operating system API calls that supply system information.    Rootkits or rootkit enabling functionality may reside at the user or kernel level in the operating system or lower, to include a hypervisor, Master Boot Record, or [System Firmware]  Rootkits have been seen for Windows, Linux, and Mac OS X systems.  ","['[Ebury] has used user mode rootkit techniques to remain hidden on the system.', '[Winnti Group] used a rootkit to modify typical server functionality.', '[APT41] deployed rootkits on Linux systems.', '[Rocke] has modified /etc/ld.so.preload to hook libc functions in order to hide the installed dropper and mining software in process lists.', '[Carberp] has used user mode rootkit techniques to remain hidden on the system.', '[Ramsay] has included a rootkit to evade defenses.\t', '[Drovorub] has used a kernel module rootkit to hide processes, files, executables, and network artifacts from user space view.', '[HTRAN] can install a rootkit to hide network connections from the host OS.', '[HIDEDRV] is a rootkit that hides certain operating system artifacts.', '[TeamTNT] has used rootkits such as the open-source Diamorphine rootkit and their custom bots to hide cryptocurrency mining activities on the machine. ', '[Skidmap] is a kernel-mode rootkit that has the ability to hook system calls to hide specific files and fake network and CPU-related statistics to make the CPU load of the infected machine always appear low.', '[Umbreon] hides from defenders by hooking libc function calls, hiding artifacts that would reveal its presence, such as the user account it creates to provide access and undermining strace, a tool often used to identify malware.', '[Stuxnet] uses a Windows rootkit to mask its binaries and other relevant files.', '[Hacking Team UEFI Rootkit] is a UEFI BIOS rootkit developed by the company Hacking Team to persist remote access software on some targeted systems.', '[HiddenWasp] uses a rootkit to hook and implement functions on the system.', '[Hildegard] has modified /etc/ld.so.preload to overwrite readdir() and readdir64().', '[APT28] has used a UEFI (Unified Extensible Firmware Interface) rootkit known as [LoJax]', '[Hikit] is a [Rootkit] that has been used by [Axiom]  ', ""[Winnti for Linux] has used a modified copy of the open-source userland rootkit Azazel, named libxselinux.so, to hide the malware's operations and network activity."", '[Zeroaccess] is a kernel-mode rootkit.', '[LoJax] is a UEFI BIOS rootkit deployed to persist remote access software on some targeted systems.', ""[Uroburos] can use its kernel module to prevent its host components from being listed by the targeted system's OS and to mediate requests between user mode and concealed components."", '[WarzoneRAT] can include a rootkit to hide processes, files, and startup.', '[Caterpillar WebShell] has a module to use a rootkit on a system. ', '[PoisonIvy] starts a rootkit from a malicious file dropped to disk.', 'starts a rootkit from a malicious file dropped to disk.']"
T1543,Create or Modify System Process,"Adversaries may create or modify system-level processes to repeatedly execute malicious payloads as part of persistence. When operating systems boot up, they can start processes that perform background system functions. On Windows and Linux, these system processes are referred to as services. On macOS, launchd processes known as [Launch Daemon] and [Launch Agent] are run to finish system initialization and load user specific parameters.   Adversaries may install new services, daemons, or agents that can be configured to execute at startup or a repeatable interval in order to establish persistence. Similarly, adversaries may modify existing services, daemons, or agents to achieve the same effect.    Services, daemons, or agents may be created with administrator privileges but executed under root/SYSTEM privileges. Adversaries may leverage this functionality to create or modify system processes in order to escalate privileges.  ","['[Exaramel for Linux] has a hardcoded location that it uses to achieve persistence if the startup system is Upstart or System V and it is running as root.', '[MiniDuke] can create a process on a compromised host.', '[FatDuke] has the ability to create a process.']"
T1133,External Remote Services,"Adversaries may leverage external-facing remote services to initially access and/or persist within a network. Remote services such as VPNs, Citrix, and other access mechanisms allow users to connect to internal enterprise network resources from external locations. There are often remote service gateways that manage connections and credential authentication for these services. Services such as [Windows Remote Management] and [VNC] can also be used externally.  Access to [Valid Accounts] to use the service is often a requirement, which could be obtained through credential pharming or by obtaining the credentials from users after compromising the enterprise network. Access to remote services may be used as a redundant or persistent access mechanism during an operation.  Access may also be gained through an exposed service that doesn’t require authentication. In containerized environments, this may include an exposed Docker API, Kubernetes API server, kubelet, or web application such as the Kubernetes dashboard.","['[TeamTNT] has used open-source tools such as Weave Scope to target exposed Docker API ports and gain initial access to victim environments. [TeamTNT] has also targeted exposed kubelets for Kubernetes environments.', '[FIN13] has gained access to compromised environments via remote access services such as the corporate virtual private network (VPN).', 'During [Operation CuckooBees] the threat actors enabled WinRM over HTTP/HTTPS as a backup persistence mechanism using the following command: `cscript //nologo ""C:\\Windows\\System32\\winrm.vbs"" set winrm/config/service@{EnableCompatibilityHttpsListener=""true""}`.', '[Linux Rabbit] attempts to gain access to the server via SSH.', 'During [Night Dragon] threat actors used compromised VPN accounts to gain access to victim systems.', '[Mafalda] can establish an SSH connection from a compromised host to a server.', '[APT18] actors leverage legitimate credentials to log into external remote services.', '[TEMP.Veles] has used a VPN to persist in the victim environment.', ""[Sandworm Team] has used Dropbear SSH with a hardcoded backdoor password to maintain persistence within the target network. [Sandworm Team] has also used VPN tunnels established in legitimate software company infrastructure to gain access to internal networks of that software company's users."", '[Hildegard] was executed through an unsecure kubelet that allowed anonymous access to the victim environment.', '[Scattered Spider] has leveraged legitimate remote management tools to maintain persistent access.', '[APT41] compromised an online billing/payment service using VPN access between a third-party service provider and the targeted payment service. ', '[LAPSUS$] has gained access to internet-facing systems and applications, including virtual private network (VPN), remote desktop protocol (RDP), and virtual desktop infrastructure (VDI) including Citrix. ', '[OilRig] uses remote services such as VPN, Citrix, or OWA to persist in an environment.', '[GALLIUM] has used VPN services, including SoftEther VPN, to access and maintain persistence in victim environments.', '[Ke3chang] has gained access through VPNs including with compromised accounts and stolen VPN certificates.', 'During the [2015 Ukraine Electric Power Attack] [Sandworm Team] installed a modified Dropbear SSH client as the backdoor to target systems. ', '[Wizard Spider] has accessed victim networks by using stolen credentials to access the corporate VPN infrastructure.', '[APT29] has used compromised identities to access networks via VPNs and Citrix.', 'During [CostaRicto] the threat actors set up remote tunneling using an SSH tool to maintain access to a compromised environment.', '[Kimsuky] has used RDP to establish persistence.', '[FIN5] has used legitimate VPN, Citrix, or VNC credentials to maintain access to a victim environment.', 'For the [SolarWinds Compromise] [APT29] used compromised identities to access networks via SSH, VPNs, and other remote access tools.', '[Threat Group-3390] actors look for and use VPN profiles during an operation to access the network using external VPN services. [Threat Group-3390] has also obtained OWA account credentials during intrusions that it subsequently used to attempt to regain access when evicted from a victim network.', '[Kinsing] was executed in an Ubuntu container deployed via an open Docker daemon API.', 'During [C0027] [Scattered Spider] used Citrix and VPNs to persist in compromised environments.', '[GOLD SOUTHFIELD] has used publicly-accessible RDP and remote management and monitoring (RMM) servers to gain access to victim machines.\t', '[Chimera] has used legitimate credentials to login to an external VPN, Citrix, SSH, and other remote services.', '[Dragonfly] has used VPNs and Outlook Web Access (OWA) to maintain access to victim networks.', '[APT28] has used [Tor] and a variety of commercial VPN services to route brute force authentication attempts.', ""During [Operation Wocao] threat actors used stolen credentials to connect to the victim's network via VPN."", '[Doki] was executed through an open Docker daemon API port.', '[Leviathan] has used external remote services such as virtual private networks (VPN) to gain initial access.', '[UNC2452] has used compromised identities to access VPNs and remote access tools.', '[Night Dragon] has used compromised VPN accounts to gain access to victim systems.', ""[Operation Wocao] has used stolen credentials to connect to the victim's network via VPN."", '[Dragonfly 2.0] used VPNs and Outlook Web Access (OWA) to maintain access to victim networks.', 'Dragonfly used remote access services, including VPN and Outlook Web Access (OWA).', 'APT34 uses remote services such as VPN, Citrix, or OWA to persist in an environment.']"
T1539,Steal Web Session Cookie,"An adversary may steal web application or service session cookies and use them to gain access to web applications or Internet services as an authenticated user without needing credentials. Web applications and services often use session cookies as an authentication token after a user has authenticated to a website.  Cookies are often valid for an extended period of time, even if the web application is not actively used. Cookies can be found on disk, in the process memory of the browser, and in network traffic to remote systems. Additionally, other applications on the targets machine might store sensitive authentication cookies in memory (e.g. apps which authenticate to cloud services). Session cookies can be used to bypasses some multi-factor authentication protocols.  There are several examples of malware targeting cookies from web browsers on the local system. There are also open source frameworks such as `Evilginx2` and `Muraena` that can gather session cookies through a malicious proxy (ex: [Adversary-in-the-Middle] that can be set up by an adversary and used in phishing campaigns.  After an adversary acquires a valid cookie, they can then perform a [Web Session Cookie] technique to login to the corresponding web application.","['[LuminousMoth] has used an unnamed post-exploitation tool to steal cookies from the Chrome browser.', ""[Grandoreiro] can steal the victim's cookies to use for duplicating the active session from another device."", '[Evilnum] can steal cookies and session information from browsers.', '[CookieMiner] can steal Google Chrome and Apple Safari browser cookies from the victim’s machine. ', '[QakBot] has the ability to capture web session cookies.', '[EVILNUM] can harvest cookies and upload them to the C2 server.', '[Chaes] has used a script that extracts the web session cookie and sends it to the C2 server. ', '[BLUELIGHT] can harvest cookies from Internet Explorer, Edge, Chrome, and Naver Whale browsers.', 'During the [SolarWinds Compromise] [APT29] stole Chrome browser cookies by copying the Chrome profile directories of targeted users.', '[XCSSET] uses <code>scp</code> to access the <code>~/Library/Cookies/Cookies.binarycookies</code> file.', '[TajMahal] has the ability to steal web session cookies from Internet Explorer, Netscape Navigator, FireFox and RealNetworks applications.', '[APT29] has stolen Chrome browser cookies by copying the Chrome profile directories of targeted users.']"
